Dataset: /home/uchinosub/git/MyResearches.ImageToText/output/image-orig/
k: 5, loop: 300
Number of classes: 10
Number of dics: 10
Number of test data: 100
Number of learning data: 890
~~~~~~~~~~~~~~~~~~~~正解率~~~~~~~~~~~~~~~~~~
| ~回目 | PRDC |  PAIR_MULTIPLE | PAIR_MULTIPLE_LOG | RECOMPRESSION |
| 118回目 | 0.63 | 0.74 | 0.68 | 0.77 | 
| 119回目 | 0.61 | 0.64 | 0.62 | 0.6 | 
| 120回目 | 0.63 | 0.69 | 0.72 | 0.75 | 
| 121回目 | 0.69 | 0.69 | 0.73 | 0.73 | 
| 122回目 | 0.65 | 0.67 | 0.72 | 0.67 | 
| 123回目 | 0.78 | 0.75 | 0.75 | 0.81 | 
| 124回目 | 0.56 | 0.58 | 0.58 | 0.69 | 
| 125回目 | 0.66 | 0.72 | 0.66 | 0.64 | 
| 126回目 | 0.64 | 0.69 | 0.63 | 0.7 | 
| 127回目 | 0.55 | 0.7 | 0.63 | 0.61 | 
| 128回目 | 0.61 | 0.67 | 0.71 | 0.62 | 
| 129回目 | 0.66 | 0.65 | 0.68 | 0.65 | 
| 130回目 | 0.62 | 0.8 | 0.77 | 0.72 | 
| 131回目 | 0.63 | 0.68 | 0.69 | 0.67 | 
| 132回目 | 0.71 | 0.74 | 0.76 | 0.69 | 
| 133回目 | 0.72 | 0.74 | 0.74 | 0.71 | 
| 134回目 | 0.72 | 0.72 | 0.72 | 0.76 | 
| 135回目 | 0.66 | 0.68 | 0.7 | 0.7 | 
| 136回目 | 0.66 | 0.71 | 0.66 | 0.69 | 
| 137回目 | 0.71 | 0.75 | 0.72 | 0.68 | 
| 138回目 | 0.79 | 0.78 | 0.8 | 0.8 | 
| 139回目 | 0.57 | 0.71 | 0.64 | 0.64 | 
| 140回目 | 0.57 | 0.6 | 0.56 | 0.63 | 
| 141回目 | 0.67 | 0.68 | 0.72 | 0.74 | 
| 142回目 | 0.68 | 0.76 | 0.75 | 0.74 | 
| 143回目 | 0.7 | 0.75 | 0.7 | 0.67 | 
| 144回目 | 0.66 | 0.7 | 0.8 | 0.7 | 
| 145回目 | 0.65 | 0.68 | 0.64 | 0.66 | 
| 146回目 | 0.75 | 0.72 | 0.74 | 0.71 | 
| 147回目 | 0.69 | 0.7 | 0.71 | 0.66 | 
| 148回目 | 0.67 | 0.74 | 0.69 | 0.69 | 
| 149回目 | 0.65 | 0.67 | 0.65 | 0.67 | 
| 150回目 | 0.63 | 0.72 | 0.67 | 0.68 | 
| 151回目 | 0.68 | 0.72 | 0.71 | 0.73 | 
| 152回目 | 0.65 | 0.72 | 0.68 | 0.69 | 
| 153回目 | 0.58 | 0.69 | 0.75 | 0.64 | 
| 154回目 | 0.68 | 0.66 | 0.76 | 0.76 | 
| 155回目 | 0.75 | 0.72 | 0.76 | 0.74 | 
| 156回目 | 0.61 | 0.67 | 0.63 | 0.66 | 
| 157回目 | 0.68 | 0.73 | 0.67 | 0.71 | 
| 158回目 | 0.68 | 0.66 | 0.72 | 0.64 | 
| 159回目 | 0.61 | 0.72 | 0.66 | 0.73 | 
| 160回目 | 0.65 | 0.68 | 0.66 | 0.69 | 
| 161回目 | 0.63 | 0.64 | 0.65 | 0.67 | 
| 162回目 | 0.62 | 0.66 | 0.66 | 0.72 | 
| 163回目 | 0.66 | 0.67 | 0.66 | 0.7 | 
| 164回目 | 0.68 | 0.66 | 0.72 | 0.68 | 
| 165回目 | 0.69 | 0.75 | 0.68 | 0.73 | 
| 166回目 | 0.7 | 0.64 | 0.69 | 0.69 | 
| 167回目 | 0.63 | 0.73 | 0.75 | 0.67 | 
| 168回目 | 0.7 | 0.68 | 0.72 | 0.79 | 
| 169回目 | 0.69 | 0.69 | 0.67 | 0.71 | 
| 170回目 | 0.64 | 0.7 | 0.65 | 0.72 | 
| 171回目 | 0.56 | 0.62 | 0.65 | 0.63 | 
| 172回目 | 0.65 | 0.74 | 0.69 | 0.74 | 
| 173回目 | 0.68 | 0.77 | 0.73 | 0.69 | 
| 174回目 | 0.6 | 0.65 | 0.63 | 0.69 | 
| 175回目 | 0.69 | 0.74 | 0.7 | 0.69 | 
| 176回目 | 0.58 | 0.7 | 0.69 | 0.63 | 
| 177回目 | 0.64 | 0.75 | 0.77 | 0.69 | 
| 178回目 | 0.67 | 0.73 | 0.66 | 0.72 | 
| 179回目 | 0.61 | 0.74 | 0.65 | 0.71 | 
| 180回目 | 0.63 | 0.67 | 0.79 | 0.72 | 
| 181回目 | 0.67 | 0.7 | 0.71 | 0.75 | 
| 182回目 | 0.75 | 0.75 | 0.74 | 0.76 | 
| 183回目 | 0.63 | 0.69 | 0.71 | 0.64 | 
| 184回目 | 0.63 | 0.71 | 0.68 | 0.67 | 
| 185回目 | 0.73 | 0.76 | 0.72 | 0.73 | 
| 186回目 | 0.57 | 0.6 | 0.63 | 0.63 | 
| 187回目 | 0.71 | 0.72 | 0.73 | 0.68 | 
| 188回目 | 0.65 | 0.66 | 0.64 | 0.67 | 
| 189回目 | 0.66 | 0.7 | 0.7 | 0.71 | 
| 190回目 | 0.53 | 0.66 | 0.67 | 0.59 | 
| 191回目 | 0.65 | 0.64 | 0.63 | 0.67 | 
| 192回目 | 0.63 | 0.63 | 0.67 | 0.63 | 
| 193回目 | 0.71 | 0.73 | 0.72 | 0.77 | 
| 194回目 | 0.61 | 0.69 | 0.66 | 0.73 | 
| 195回目 | 0.62 | 0.71 | 0.68 | 0.71 | 
| 196回目 | 0.69 | 0.67 | 0.73 | 0.74 | 
| 197回目 | 0.57 | 0.67 | 0.63 | 0.58 | 
| 198回目 | 0.59 | 0.63 | 0.66 | 0.64 | 
| 199回目 | 0.66 | 0.71 | 0.64 | 0.69 | 
| 200回目 | 0.69 | 0.65 | 0.78 | 0.75 | 
| 201回目 | 0.71 | 0.71 | 0.71 | 0.71 | 
| 202回目 | 0.57 | 0.64 | 0.64 | 0.64 | 
| 203回目 | 0.63 | 0.68 | 0.68 | 0.68 | 
| 204回目 | 0.64 | 0.64 | 0.63 | 0.66 | 
| 205回目 | 0.64 | 0.63 | 0.68 | 0.62 | 
| 206回目 | 0.55 | 0.67 | 0.62 | 0.63 | 
| 207回目 | 0.7 | 0.71 | 0.68 | 0.71 | 
| 208回目 | 0.57 | 0.58 | 0.66 | 0.62 | 
| 209回目 | 0.65 | 0.7 | 0.78 | 0.74 | 
| 210回目 | 0.73 | 0.76 | 0.82 | 0.73 | 
| 211回目 | 0.69 | 0.73 | 0.67 | 0.74 | 
| 212回目 | 0.69 | 0.67 | 0.72 | 0.63 | 
| 213回目 | 0.61 | 0.71 | 0.75 | 0.66 | 
| 214回目 | 0.57 | 0.68 | 0.67 | 0.66 | 
| 215回目 | 0.65 | 0.7 | 0.66 | 0.66 | 
| 216回目 | 0.64 | 0.6 | 0.57 | 0.61 | 
| 217回目 | 0.66 | 0.71 | 0.73 | 0.69 | 
| 218回目 | 0.62 | 0.72 | 0.72 | 0.73 | 
| 219回目 | 0.54 | 0.59 | 0.6 | 0.6 | 
| 220回目 | 0.66 | 0.73 | 0.73 | 0.79 | 
